2024-03-17T14:56:45+00:00: Starting --insert_events
Running --insert_events...
2024-03-17T14:56:48+00:00: Inserting events from CSV file: 2019-Nov.csv
2024-03-17T21:15:40+00:00: Inserted chunk of size 64303 into database.
2024-03-17T21:17:09+00:00: Inserted chunk of size 63977 into database.
2024-03-17T21:18:40+00:00: Inserted chunk of size 64606 into database.
2024-03-17T21:20:11+00:00: Inserted chunk of size 64196 into database.
2024-03-17T21:21:44+00:00: Inserted chunk of size 64191 into database.
2024-03-17T21:23:16+00:00: Inserted chunk of size 64354 into database.
2024-03-17T21:24:44+00:00: Inserted chunk of size 63353 into database.
2024-03-17T21:26:13+00:00: Inserted chunk of size 63871 into database.
2024-03-17T21:27:45+00:00: Inserted chunk of size 63898 into database.
2024-03-17T21:29:18+00:00: Inserted chunk of size 63325 into database.
2024-03-17T21:30:51+00:00: Inserted chunk of size 63450 into database.
2024-03-17T21:32:19+00:00: Inserted chunk of size 62996 into database.
2024-03-17T21:33:47+00:00: Inserted chunk of size 62326 into database.
2024-03-17T21:35:21+00:00: Inserted chunk of size 62395 into database.
2024-03-17T21:36:51+00:00: Inserted chunk of size 61771 into database.
2024-03-17T21:38:20+00:00: Inserted chunk of size 61729 into database.
2024-03-17T21:39:46+00:00: Inserted chunk of size 63241 into database.
2024-03-17T21:41:11+00:00: Inserted chunk of size 60517 into database.
2024-03-17T21:42:37+00:00: Inserted chunk of size 60376 into database.
2024-03-17T21:44:05+00:00: Inserted chunk of size 60747 into database.
2024-03-17T21:45:31+00:00: Inserted chunk of size 60244 into database.
2024-03-17T21:46:55+00:00: Inserted chunk of size 60435 into database.
2024-03-17T21:48:20+00:00: Inserted chunk of size 60460 into database.
2024-03-17T21:49:51+00:00: Inserted chunk of size 59835 into database.
2024-03-17T21:51:14+00:00: Inserted chunk of size 59248 into database.
2024-03-17T21:52:34+00:00: Inserted chunk of size 59474 into database.
2024-03-17T21:53:57+00:00: Inserted chunk of size 60131 into database.
2024-03-17T21:55:11+00:00: Inserted chunk of size 60493 into database.
2024-03-17T21:56:31+00:00: Inserted chunk of size 61987 into database.
2024-03-17T21:57:53+00:00: Inserted chunk of size 60344 into database.
2024-03-17T21:59:19+00:00: Inserted chunk of size 61613 into database.
2024-03-17T22:00:44+00:00: Inserted chunk of size 62407 into database.
2024-03-17T22:02:12+00:00: Inserted chunk of size 62982 into database.
2024-03-17T22:03:40+00:00: Inserted chunk of size 63290 into database.
2024-03-17T22:05:09+00:00: Inserted chunk of size 63715 into database.
2024-03-17T22:06:42+00:00: Inserted chunk of size 63386 into database.
2024-03-17T22:08:25+00:00: Inserted chunk of size 63518 into database.
2024-03-17T22:09:55+00:00: Inserted chunk of size 64287 into database.
2024-03-17T22:11:29+00:00: Inserted chunk of size 64986 into database.
2024-03-17T22:13:01+00:00: Inserted chunk of size 65240 into database.
2024-03-17T22:14:35+00:00: Inserted chunk of size 65198 into database.
