2024-03-17T14:50:11+00:00: Starting --insert_products
Running --insert_products...
2024-03-17T14:50:13+00:00: Inserting products from CSV file: 2019-Nov.csv
2024-03-17T14:53:25+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:53:26+00:00: Inserted chunk of size 10 into database.
2024-03-17T14:53:26+00:00: Inserted chunk of size 15 into database.
2024-03-17T14:53:27+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:53:27+00:00: Inserted chunk of size 22 into database.
2024-03-17T14:53:28+00:00: Inserted chunk of size 15 into database.
2024-03-17T14:53:28+00:00: Inserted chunk of size 11 into database.
2024-03-17T14:53:29+00:00: Inserted chunk of size 26 into database.
2024-03-17T14:53:30+00:00: Inserted chunk of size 13 into database.
2024-03-17T14:53:30+00:00: Inserted chunk of size 7 into database.
2024-03-17T14:53:31+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:53:31+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:53:32+00:00: Inserted chunk of size 12 into database.
2024-03-17T14:53:33+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:53:33+00:00: Inserted chunk of size 10 into database.
2024-03-17T14:53:34+00:00: Inserted chunk of size 19 into database.
2024-03-17T14:53:34+00:00: Inserted chunk of size 7 into database.
2024-03-17T14:53:35+00:00: Inserted chunk of size 14 into database.
2024-03-17T14:53:35+00:00: Inserted chunk of size 10 into database.
2024-03-17T14:53:36+00:00: Inserted chunk of size 13 into database.
2024-03-17T14:53:37+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:53:37+00:00: Inserted chunk of size 3 into database.
2024-03-17T14:53:38+00:00: Inserted chunk of size 11 into database.
2024-03-17T14:53:38+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:53:39+00:00: Inserted chunk of size 2 into database.
2024-03-17T14:53:39+00:00: Inserted chunk of size 24 into database.
2024-03-17T14:53:40+00:00: Inserted chunk of size 13 into database.
2024-03-17T14:53:41+00:00: Inserted chunk of size 12 into database.
2024-03-17T14:53:41+00:00: Inserted chunk of size 15 into database.
2024-03-17T14:53:42+00:00: Inserted chunk of size 5 into database.
2024-03-17T14:53:42+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:53:43+00:00: Inserted chunk of size 11 into database.
2024-03-17T14:53:43+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:53:44+00:00: Inserted chunk of size 10 into database.
2024-03-17T14:53:45+00:00: Inserted chunk of size 7 into database.
2024-03-17T14:53:45+00:00: Inserted chunk of size 11 into database.
2024-03-17T14:53:46+00:00: Inserted chunk of size 7 into database.
2024-03-17T14:53:46+00:00: Inserted chunk of size 7 into database.
2024-03-17T14:53:47+00:00: Inserted chunk of size 14 into database.
2024-03-17T14:53:47+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:53:48+00:00: Inserted chunk of size 6 into database.
2024-03-17T14:53:48+00:00: Inserted chunk of size 11 into database.
2024-03-17T14:53:49+00:00: Inserted chunk of size 5 into database.
2024-03-17T14:53:50+00:00: Inserted chunk of size 7 into database.
2024-03-17T14:53:50+00:00: Inserted chunk of size 11 into database.
2024-03-17T14:53:51+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:53:51+00:00: Inserted chunk of size 4 into database.
2024-03-17T14:53:52+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:53:52+00:00: Inserted chunk of size 4 into database.
2024-03-17T14:53:53+00:00: Inserted chunk of size 3 into database.
2024-03-17T14:53:53+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:53:54+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:53:55+00:00: Inserted chunk of size 11 into database.
2024-03-17T14:53:55+00:00: Inserted chunk of size 6 into database.
2024-03-17T14:53:56+00:00: Inserted chunk of size 6 into database.
2024-03-17T14:53:56+00:00: Inserted chunk of size 10 into database.
2024-03-17T14:53:57+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:53:57+00:00: Inserted chunk of size 7 into database.
2024-03-17T14:53:58+00:00: Inserted chunk of size 11 into database.
2024-03-17T14:53:58+00:00: Inserted chunk of size 11 into database.
2024-03-17T14:53:59+00:00: Inserted chunk of size 11 into database.
2024-03-17T14:53:59+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:54:00+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:54:00+00:00: Inserted chunk of size 7 into database.
2024-03-17T14:54:00+00:00: Inserted chunk of size 10 into database.
2024-03-17T14:54:01+00:00: Inserted chunk of size 4 into database.
2024-03-17T14:54:01+00:00: Inserted chunk of size 10 into database.
2024-03-17T14:54:02+00:00: Inserted chunk of size 16 into database.
2024-03-17T14:54:02+00:00: Inserted chunk of size 15 into database.
2024-03-17T14:54:03+00:00: Inserted chunk of size 4 into database.
2024-03-17T14:54:03+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:54:04+00:00: Inserted chunk of size 7 into database.
2024-03-17T14:54:04+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:54:05+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:54:06+00:00: Inserted chunk of size 11 into database.
2024-03-17T14:54:06+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:54:07+00:00: Inserted chunk of size 10 into database.
2024-03-17T14:54:07+00:00: Inserted chunk of size 7 into database.
2024-03-17T14:54:08+00:00: Inserted chunk of size 6 into database.
2024-03-17T14:54:08+00:00: Inserted chunk of size 5 into database.
2024-03-17T14:54:09+00:00: Inserted chunk of size 17 into database.
2024-03-17T14:54:10+00:00: Inserted chunk of size 6 into database.
2024-03-17T14:54:10+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:54:11+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:54:11+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:54:12+00:00: Inserted chunk of size 12 into database.
2024-03-17T14:54:12+00:00: Inserted chunk of size 6 into database.
2024-03-17T14:54:13+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:54:13+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:54:14+00:00: Inserted chunk of size 4 into database.
2024-03-17T14:54:15+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:54:15+00:00: Inserted chunk of size 3 into database.
2024-03-17T14:54:16+00:00: Inserted chunk of size 6 into database.
2024-03-17T14:54:16+00:00: Inserted chunk of size 10 into database.
